                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6286,                 7.3971,                 2.0948,                0.05041,                0.80259,                 0.4437,                0.30734,                 1.9585,                 4.9983,                  1.766,             0.00025374,             0.00025374,             0.00025374
                      2,                 1.8721,                 3.4905,                 1.7882,                0.65085,                0.68847,                0.74027,                0.57187,                 1.7142,                 1.8539,                 1.7206,             0.00047641,             0.00047641,             0.00047641
                      3,                 1.6712,                 2.7155,                 1.7495,                0.78062,                0.77755,                0.87516,                 0.7253,                 1.3723,                  1.296,                 1.6747,             0.00066524,             0.00066524,             0.00066524
                      4,                 1.6554,                 2.3693,                 1.7467,                0.82563,                0.81569,                0.91494,                 0.7759,                 1.2473,                 1.1146,                  1.664,             0.00061674,             0.00061674,             0.00061674
                      5,                 1.5266,                 2.0799,                  1.726,                0.82758,                0.89401,                 0.9267,                 0.7798,                  1.305,                 1.0085,                 1.6539,             0.00056598,             0.00056598,             0.00056598
                      6,                 1.4389,                 2.4131,                 1.7004,                0.82626,                0.86492,                0.91892,                0.75092,                 1.4117,                 1.0773,                 1.6514,             0.00051523,             0.00051523,             0.00051523
                      7,                 1.3526,                 2.0564,                 1.6815,                 0.8457,                0.90529,                 0.9481,                 0.8138,                 1.2253,                0.93472,                 1.6357,             0.00046448,             0.00046448,             0.00046448
                      8,                 1.3248,                 1.8311,                 1.6671,                0.89912,                0.91565,                0.96806,                0.82919,                 1.2709,                0.87417,                 1.6305,             0.00041372,             0.00041372,             0.00041372
                      9,                 1.2714,                  1.656,                  1.653,                0.86938,                0.89889,                0.95919,                0.84104,                 1.1185,                0.85073,                 1.6225,             0.00036297,             0.00036297,             0.00036297
                     10,                 1.2029,                 1.4987,                   1.64,                 0.9109,                0.89632,                0.96367,                0.84821,                 1.0835,                0.81402,                 1.6016,             0.00031221,             0.00031221,             0.00031221
                     11,                 1.1744,                 1.4278,                 1.6311,                0.90805,                0.91929,                0.96759,                0.85103,                 1.0667,                0.76543,                 1.6042,             0.00026146,             0.00026146,             0.00026146
                     12,                 1.1334,                 1.3438,                 1.6225,                0.91846,                0.93452,                0.97079,                0.86685,                 1.0445,                0.75491,                 1.5964,             0.00021071,             0.00021071,             0.00021071
                     13,                 1.0845,                 1.2834,                 1.6161,                 0.8818,                0.93316,                0.96513,                0.86833,                0.97055,                0.71028,                 1.5913,             0.00015995,             0.00015995,             0.00015995
                     14,                 1.0606,                 1.2367,                 1.6165,                0.91921,                0.91342,                0.97037,                0.86525,                 1.0378,                0.70263,                 1.5892,              0.0001092,              0.0001092,              0.0001092
                     15,                 1.0112,                 1.1979,                 1.6056,                0.92222,                0.93317,                0.97331,                0.88115,                0.93895,                0.66575,                 1.5823,             5.8444e-05,             5.8444e-05,             5.8444e-05
