                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4892,                 9.7848,                 2.8143,                0.00485,                0.18958,                0.04638,                0.01724,                 2.8819,                 8.4519,                 1.9602,             0.00017136,             0.00017136,             0.00017136
                      2,                 2.8531,                 7.7561,                  1.998,                0.01724,                0.39958,                0.11566,                0.06835,                  2.589,                 7.9144,                 1.8877,             0.00033254,             0.00033254,             0.00033254
                      3,                 2.6663,                 6.0041,                 1.9352,                0.01442,                0.35292,                0.15495,                0.08451,                 2.5403,                 7.2728,                 1.8805,             0.00047605,             0.00047605,             0.00047605
                      4,                  2.505,                 4.5149,                 1.9139,                0.77366,                0.20415,                0.39006,                0.24506,                 2.4036,                 5.0556,                 1.8726,             0.00060189,             0.00060189,             0.00060189
                      5,                 2.2935,                 3.7727,                 1.8775,                0.52454,                0.28886,                0.55104,                0.34853,                  2.373,                 3.6779,                 1.8382,             0.00057263,             0.00057263,             0.00057263
                      6,                 2.2616,                 3.3761,                  1.861,                0.70171,                 0.4258,                 0.6683,                0.43716,                 2.1628,                  2.979,                 1.8083,             0.00053728,             0.00053728,             0.00053728
                      7,                 2.1382,                 3.0741,                 1.8572,                0.66687,                0.57095,                0.70504,                0.49061,                 2.0427,                 2.4685,                  1.828,             0.00050194,             0.00050194,             0.00050194
                      8,                 2.0372,                 2.8426,                 1.8242,                 0.6529,                0.69953,                0.72687,                0.51829,                 1.9073,                 1.9763,                 1.7691,              0.0004666,              0.0004666,              0.0004666
                      9,                 1.9348,                 2.6039,                 1.8011,                0.63912,                0.73206,                0.75336,                 0.5265,                 2.0385,                   1.87,                 1.7698,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.8653,                 2.5492,                 1.7901,                0.68484,                0.72417,                0.77914,                0.59208,                 1.6844,                 1.6654,                 1.7334,             0.00039591,             0.00039591,             0.00039591
                     11,                 1.8838,                  2.951,                 1.7807,                 0.7256,                0.72118,                0.80569,                  0.607,                 1.6982,                 1.7566,                 1.7449,             0.00036057,             0.00036057,             0.00036057
                     12,                 1.8256,                 2.7304,                 1.7665,                0.68415,                0.74716,                0.81661,                0.62227,                 1.6583,                 1.6048,                 1.7309,             0.00032523,             0.00032523,             0.00032523
                     13,                 1.7899,                 2.6495,                 1.7526,                0.72557,                 0.7571,                0.83856,                0.60945,                 1.7077,                 1.6333,                 1.7309,             0.00028988,             0.00028988,             0.00028988
                     14,                  1.776,                 2.5788,                 1.7476,                0.75562,                 0.7744,                0.84723,                0.65858,                 1.5734,                 1.4737,                 1.7136,             0.00025454,             0.00025454,             0.00025454
                     15,                 1.6859,                  2.482,                  1.725,                0.71917,                0.77585,                0.84794,                0.66788,                 1.5083,                 1.4451,                  1.707,              0.0002192,              0.0002192,              0.0002192
                     16,                 1.6212,                  2.394,                 1.7266,                 0.7227,                0.80518,                 0.8621,                0.68659,                 1.4708,                 1.3712,                 1.6972,             0.00018385,             0.00018385,             0.00018385
                     17,                 1.5853,                 2.3384,                 1.7193,                0.77234,                0.76858,                0.87251,                    0.7,                 1.4063,                 1.3398,                 1.6933,             0.00014851,             0.00014851,             0.00014851
                     18,                  1.565,                 2.2974,                 1.7154,                0.76069,                0.78314,                0.86907,                0.70414,                 1.3785,                 1.3222,                 1.6874,             0.00011317,             0.00011317,             0.00011317
                     19,                 1.5227,                 2.2533,                 1.6986,                0.77891,                0.81378,                0.88042,                 0.7147,                 1.3323,                  1.288,                 1.6856,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                 1.5271,                  2.233,                 1.7128,                0.78627,                0.79719,                0.88538,                0.71364,                 1.3687,                  1.293,                 1.6859,             4.2483e-05,             4.2483e-05,             4.2483e-05
