                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3179,                 2.9596,                 1.1092,                0.95251,                0.96127,                0.98773,                0.77949,                0.76993,                0.68542,                0.86099,             0.00025374,             0.00025374,             0.00025374
                      2,                0.77088,                0.64796,                0.88147,                0.99664,                0.99563,                0.99388,                 0.8454,                0.63946,                  0.458,                0.82544,             0.00047641,             0.00047641,             0.00047641
                      3,                0.70254,                0.54384,                0.86351,                0.99608,                0.99559,                 0.9939,                 0.8481,                0.60982,                0.45221,                0.81569,             0.00066524,             0.00066524,             0.00066524
                      4,                 0.6685,                0.49204,                0.85605,                0.99708,                0.99689,                0.99406,                0.85328,                0.59006,                0.41547,                0.81168,             0.00061674,             0.00061674,             0.00061674
                      5,                0.63483,                0.44951,                 0.8485,                0.99688,                0.99846,                0.99494,                0.86988,                0.58098,                0.37735,                 0.8061,             0.00056598,             0.00056598,             0.00056598
                      6,                 0.6099,                 0.4272,                0.83182,                0.99604,                0.99767,                0.99418,                 0.8592,                0.58703,                 0.4058,                0.80754,             0.00051523,             0.00051523,             0.00051523
                      7,                0.58764,                0.41324,                0.82536,                 0.9977,                0.99732,                0.99397,                0.85393,                0.60327,                0.40724,                0.80535,             0.00046448,             0.00046448,             0.00046448
                      8,                0.57377,                0.39441,                0.81969,                0.99779,                0.99766,                0.99422,                0.87663,                0.54857,                0.36064,                0.80736,             0.00041372,             0.00041372,             0.00041372
                      9,                0.53529,                0.36443,                0.81408,                0.99745,                0.99827,                0.99442,                0.89998,                0.48568,                0.32908,                0.79203,             0.00036297,             0.00036297,             0.00036297
                     10,                0.52128,                0.35406,                0.80894,                0.99844,                0.99737,                0.99426,                0.88837,                0.50717,                0.33043,                0.79197,             0.00031221,             0.00031221,             0.00031221
                     11,                0.51462,                0.34368,                0.80508,                0.99903,                 0.9979,                0.99439,                0.90282,                 0.4724,                0.31114,                0.78938,             0.00026146,             0.00026146,             0.00026146
                     12,                 0.4841,                0.32528,                0.79911,                0.99824,                0.99792,                0.99495,                0.90948,                0.46221,                0.30537,                0.78871,             0.00021071,             0.00021071,             0.00021071
                     13,                0.46874,                0.31362,                0.79741,                 0.9983,                 0.9978,                0.99455,                0.92328,                0.44479,                0.29428,                0.78332,             0.00015995,             0.00015995,             0.00015995
                     14,                0.45669,                0.30564,                0.79873,                0.99843,                0.99725,                0.99498,                0.90484,                0.47889,                0.29464,                0.78298,              0.0001092,              0.0001092,              0.0001092
                     15,                0.44343,                0.29585,                0.79415,                0.99817,                0.99796,                0.99455,                0.91615,                0.44451,                0.27182,                0.78088,             5.8444e-05,             5.8444e-05,             5.8444e-05
