                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5405,                 5.7911,                 1.6093,                0.46394,                0.54076,                0.44651,                 0.2473,                 1.4068,                 4.7051,                 1.0448,             0.00017136,             0.00017136,             0.00017136
                      2,                 1.2398,                 1.5419,                 1.0021,                0.80471,                0.81486,                0.92932,                0.58314,                 1.1776,                 1.0705,                0.99042,             0.00033254,             0.00033254,             0.00033254
                      3,                 1.0488,                0.98976,                0.95516,                0.98227,                0.94884,                0.99089,                0.70307,                0.93478,                0.72182,                0.92864,             0.00047605,             0.00047605,             0.00047605
                      4,                0.92763,                0.79814,                0.92479,                0.92579,                0.94376,                0.99268,                0.71688,                0.94087,                0.71644,                0.94608,             0.00060189,             0.00060189,             0.00060189
                      5,                0.94801,                0.76934,                0.92318,                0.97899,                0.97576,                0.99311,                0.75514,                0.82108,                0.59501,                0.89092,             0.00057263,             0.00057263,             0.00057263
                      6,                0.87522,                0.67818,                0.91505,                0.98775,                0.98348,                0.99482,                0.76716,                0.80298,                0.52897,                0.89874,             0.00053728,             0.00053728,             0.00053728
                      7,                0.82867,                0.62721,                0.90692,                0.98396,                0.99523,                0.99472,                0.77975,                0.75656,                0.52159,                0.87834,             0.00050194,             0.00050194,             0.00050194
                      8,                0.80928,                0.59323,                0.89486,                0.99445,                0.98844,                0.99404,                 0.7679,                0.82699,                0.49293,                0.88571,              0.0004666,              0.0004666,              0.0004666
                      9,                0.78175,                0.56349,                0.88546,                0.99623,                0.99028,                0.99444,                0.78407,                0.75196,                0.46459,                0.87244,             0.00043126,             0.00043126,             0.00043126
                     10,                0.74292,                0.54449,                0.87997,                0.99129,                0.98818,                0.99488,                0.81479,                0.64866,                0.44923,                0.86511,             0.00039591,             0.00039591,             0.00039591
                     11,                0.73987,                0.54271,                0.87901,                0.99116,                0.99093,                0.99489,                 0.8182,                0.64646,                0.44812,                0.86436,             0.00036057,             0.00036057,             0.00036057
                     12,                 0.7372,                0.52095,                0.87132,                0.99578,                0.99201,                0.99474,                0.79225,                0.68863,                 0.4545,                0.86043,             0.00032523,             0.00032523,             0.00032523
                     13,                0.72571,                0.50623,                0.86832,                0.99482,                0.99271,                0.99499,                0.80595,                0.68204,                 0.4378,                0.85924,             0.00028988,             0.00028988,             0.00028988
                     14,                 0.6997,                0.48706,                0.86324,                0.99432,                0.99245,                  0.995,                0.81583,                0.63069,                0.42561,                0.86023,             0.00025454,             0.00025454,             0.00025454
                     15,                0.68283,                0.47832,                0.85533,                0.99344,                0.99769,                  0.995,                0.81378,                0.64445,                 0.4224,                  0.856,              0.0002192,              0.0002192,              0.0002192
                     16,                0.64798,                0.46354,                  0.851,                0.99307,                0.99918,                0.99499,                0.82894,                0.61117,                0.40707,                0.84919,             0.00018385,             0.00018385,             0.00018385
                     17,                  0.627,                0.45501,                0.84495,                0.99409,                0.99739,                  0.995,                0.83951,                0.58164,                0.39869,                0.84133,             0.00014851,             0.00014851,             0.00014851
                     18,                0.61912,                0.44198,                0.84851,                0.99439,                0.99564,                  0.995,                0.84438,                0.56177,                0.38689,                0.83933,             0.00011317,             0.00011317,             0.00011317
                     19,                0.60377,                0.42756,                0.83985,                0.98947,                0.99874,                  0.995,                0.85203,                0.54811,                0.37948,                0.83647,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.59844,                0.42314,                0.84434,                0.99324,                0.99386,                0.99487,                0.84196,                0.57473,                0.38336,                0.84151,             4.2483e-05,             4.2483e-05,             4.2483e-05
