                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3769,                 2.9832,                 1.1166,                0.94611,                0.58505,                0.86882,                0.62291,                0.94674,                  1.946,                0.90036,             0.00025374,             0.00025374,             0.00025374
                      2,                0.85721,                0.98732,                0.89782,                0.98743,                0.99056,                 0.9915,                0.81613,                0.67981,                0.63234,                0.84804,             0.00047641,             0.00047641,             0.00047641
                      3,                 0.7789,                0.77872,                0.87614,                0.99538,                0.99553,                0.99376,                 0.8104,                0.71806,                0.55244,                0.83925,             0.00066524,             0.00066524,             0.00066524
                      4,                0.72011,                0.69519,                0.86703,                0.99634,                0.99678,                0.99386,                0.83378,                0.63128,                0.48117,                0.82905,             0.00061674,             0.00061674,             0.00061674
                      5,                0.69946,                0.63704,                0.86161,                0.99744,                0.99628,                 0.9939,                0.83619,                0.63024,                0.44211,                0.82396,             0.00056598,             0.00056598,             0.00056598
                      6,                0.66559,                0.68014,                0.84574,                0.99668,                0.99421,                 0.9939,                0.84624,                0.61129,                0.45864,                0.81911,             0.00051523,             0.00051523,             0.00051523
                      7,                0.62413,                0.61072,                0.83935,                0.99742,                0.99677,                0.99392,                0.86973,                0.56339,                0.42033,                0.81227,             0.00046448,             0.00046448,             0.00046448
                      8,                0.58594,                 0.5601,                0.83021,                0.99764,                 0.9963,                0.99394,                0.87261,                0.55132,                0.38995,                 0.8089,             0.00041372,             0.00041372,             0.00041372
                      9,                0.57414,                0.52435,                0.82657,                0.99727,                 0.9977,                0.99397,                0.86825,                0.55057,                0.38972,                 0.8049,             0.00036297,             0.00036297,             0.00036297
                     10,                0.55666,                0.50065,                0.81933,                0.99856,                0.99712,                0.99402,                 0.8753,                0.52343,                0.36367,                0.80054,             0.00031221,             0.00031221,             0.00031221
                     11,                0.54175,                 0.4798,                0.81523,                0.99842,                0.99702,                0.99399,                0.89157,                0.50485,                 0.3618,                0.80185,             0.00026146,             0.00026146,             0.00026146
                     12,                0.52456,                0.45656,                0.81317,                0.99865,                0.99708,                0.99399,                0.89783,                0.47772,                0.34103,                0.79498,             0.00021071,             0.00021071,             0.00021071
                     13,                0.50909,                0.43794,                0.80991,                0.99862,                 0.9968,                0.99401,                 0.9005,                0.46397,                0.33634,                0.79253,             0.00015995,             0.00015995,             0.00015995
                     14,                0.49119,                0.42546,                0.81159,                0.99824,                 0.9974,                0.99405,                0.90798,                0.46012,                0.32566,                 0.7914,              0.0001092,              0.0001092,              0.0001092
                     15,                0.47921,                0.41671,                0.80589,                0.99868,                0.99725,                0.99408,                0.91152,                0.44733,                0.31061,                0.78911,             5.8444e-05,             5.8444e-05,             5.8444e-05
