                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4667,                 4.6849,                 1.5839,                0.00155,                0.08875,                0.02682,                0.00785,                 1.5243,                 4.3553,                 1.0476,             0.00017136,             0.00017136,             0.00017136
                      2,                 1.4241,                 3.2724,                 1.0107,                0.92256,                0.09049,                0.24352,                0.14421,                 1.2376,                 3.2687,                0.93553,             0.00033254,             0.00033254,             0.00033254
                      3,                 1.2581,                 2.1305,                0.96196,                0.71117,                0.21067,                0.54571,                0.34756,                 1.1574,                 2.3099,                0.97033,             0.00047605,             0.00047605,             0.00047605
                      4,                 1.1354,                   1.54,                0.94137,                0.67498,                 0.7547,                0.81343,                0.56237,                0.99674,                 1.1801,                0.92656,             0.00060189,             0.00060189,             0.00060189
                      5,                 1.0552,                 1.2627,                0.92844,                0.86231,                0.79617,                0.91277,                0.60396,                 1.0348,                 1.1054,                0.92298,             0.00057263,             0.00057263,             0.00057263
                      6,                0.98938,                 1.0941,                0.91752,                0.91057,                0.86242,                0.95637,                0.69579,                0.86827,                0.97898,                0.88931,             0.00053728,             0.00053728,             0.00053728
                      7,                0.95655,                0.98391,                0.90911,                 0.9488,                0.92998,                0.98049,                0.73216,                0.82662,                0.83527,                0.87837,             0.00050194,             0.00050194,             0.00050194
                      8,                0.94708,                0.91355,                0.90369,                0.96708,                0.96646,                0.98988,                0.74519,                0.81843,                 0.7079,                0.87843,              0.0004666,              0.0004666,              0.0004666
                      9,                0.89997,                0.84821,                0.89233,                0.98168,                  0.972,                0.99223,                0.74159,                0.83804,                0.66306,                0.87245,             0.00043126,             0.00043126,             0.00043126
                     10,                0.86407,                 0.8158,                0.88815,                0.98279,                0.98126,                0.99285,                 0.7718,                0.73788,                0.59264,                0.86381,             0.00039591,             0.00039591,             0.00039591
                     11,                0.87054,                0.87576,                0.89247,                0.97337,                0.97113,                0.99136,                0.77008,                0.74525,                0.63626,                0.86416,             0.00036057,             0.00036057,             0.00036057
                     12,                0.81248,                0.80679,                0.87666,                0.99551,                0.98226,                0.99221,                0.76963,                0.75112,                0.58075,                0.85884,             0.00032523,             0.00032523,             0.00032523
                     13,                0.77764,                0.77068,                0.86917,                0.98903,                0.98133,                0.99296,                0.78284,                0.72599,                0.55197,                0.85728,             0.00028988,             0.00028988,             0.00028988
                     14,                0.76493,                0.74825,                0.86789,                0.99206,                0.98867,                0.99277,                0.78148,                0.72457,                0.53881,                0.85865,             0.00025454,             0.00025454,             0.00025454
                     15,                0.76081,                  0.723,                0.86226,                0.99405,                0.98632,                0.99292,                0.78269,                0.73004,                0.52807,                0.85761,              0.0002192,              0.0002192,              0.0002192
                     16,                0.73031,                0.70329,                0.86152,                  0.994,                0.98877,                  0.993,                0.79163,                 0.7102,                0.51508,                0.85264,             0.00018385,             0.00018385,             0.00018385
                     17,                 0.7145,                0.69526,                0.85711,                0.99346,                0.98802,                0.99372,                0.80717,                0.66357,                0.49643,                0.85163,             0.00014851,             0.00014851,             0.00014851
                     18,                0.71257,                0.68801,                0.86007,                0.99169,                0.98869,                 0.9942,                0.81138,                0.64335,                0.49296,                 0.8495,             0.00011317,             0.00011317,             0.00011317
                     19,                0.69086,                0.67243,                 0.8496,                0.99588,                0.99038,                0.99465,                0.80992,                0.63423,                0.48328,                0.84688,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.68565,                0.65869,                 0.8566,                0.99408,                0.99035,                0.99474,                0.80539,                0.66444,                0.48363,                0.84733,             4.2483e-05,             4.2483e-05,             4.2483e-05
